city,dataset,date,aqi,pm2_5,pm10,no2,so2,co,o3,anomaly
Chennai,Chennai,2018-03-24,112.0,61.6,120.96,92.96,127.68,1.18,106.4,False
Chennai,Chennai,2018-03-25,96.0,52.8,103.68,79.68,109.44,1.01,91.2,False
Chennai,Chennai,2018-03-26,100.0,55.0,108.0,83.0,114.0,1.05,95.0,False
Chennai,Chennai,2018-03-27,97.0,53.35,104.76,80.51,110.58,1.02,92.15,False
Chennai,Chennai,2018-03-28,67.0,36.85,72.36,55.61,76.38,0.7,63.65,False
Chennai,Chennai,2018-03-29,47.0,25.85,50.76,39.01,53.58,0.49,44.65,False
Chennai,Chennai,2018-03-30,69.0,37.95,74.52,57.27,78.66,0.72,65.55,False
Chennai,Chennai,2018-03-31,78.0,42.9,84.24,64.74,88.92,0.82,74.1,False
Chennai,Chennai,2018-04-01,169.0,92.95,182.52,140.27,192.66,1.77,160.55,False
Chennai,Chennai,2018-04-02,91.0,50.05,98.28,75.53,103.74,0.96,86.45,False
Chennai,Chennai,2018-04-03,123.0,67.65,132.84,102.09,140.22,1.29,116.85,False
Chennai,Chennai,2018-04-04,68.0,37.4,73.44,56.44,77.52,0.71,64.6,False
Chennai,Chennai,2018-04-05,148.0,81.4,159.84,122.84,168.72,1.55,140.6,False
Chennai,Chennai,2018-04-06,88.0,48.4,95.04,73.04,100.32,0.92,83.6,False
Chennai,Chennai,2018-04-07,98.0,53.9,105.84,81.34,111.72,1.03,93.1,False
Chennai,Chennai,2018-04-08,94.0,51.7,101.52,78.02,107.16,0.99,89.3,False
Chennai,Chennai,2018-04-09,67.0,36.85,72.36,55.61,76.38,0.7,63.65,False
Chennai,Chennai,2018-04-10,61.0,33.55,65.88,50.63,69.54,0.64,57.95,False
Chennai,Chennai,2018-04-11,95.0,52.25,102.6,78.85,108.3,1.0,90.25,False
Chennai,Chennai,2018-04-12,54.0,29.7,58.32,44.82,61.56,0.57,51.3,False
Chennai,Chennai,2018-04-13,58.0,31.9,62.64,48.14,66.12,0.61,55.1,False
Chennai,Chennai,2018-04-14,57.0,31.35,61.56,47.31,64.98,0.6,54.15,False
Chennai,Chennai,2018-04-15,42.0,23.1,45.36,34.86,47.88,0.44,39.9,False
Chennai,Chennai,2018-04-16,52.0,28.6,56.16,43.16,59.28,0.55,49.4,False
Chennai,Chennai,2018-04-17,58.0,31.9,62.64,48.14,66.12,0.61,55.1,False
Chennai,Chennai,2018-04-18,54.0,29.7,58.32,44.82,61.56,0.57,51.3,False
Chennai,Chennai,2018-04-19,72.0,39.6,77.76,59.76,82.08,0.76,68.4,False
Chennai,Chennai,2018-04-20,58.0,31.9,62.64,48.14,66.12,0.61,55.1,False
Chennai,Chennai,2018-04-21,70.0,38.5,75.6,58.1,79.8,0.74,66.5,False
Chennai,Chennai,2018-04-22,52.0,28.6,56.16,43.16,59.28,0.55,49.4,False
Chennai,Chennai,2018-04-23,70.0,38.5,75.6,58.1,79.8,0.74,66.5,False
Chennai,Chennai,2018-04-24,90.0,49.5,97.2,74.7,102.6,0.95,85.5,False
Chennai,Chennai,2018-04-25,76.0,41.8,82.08,63.08,86.64,0.8,72.2,False
Chennai,Chennai,2018-04-26,76.0,41.8,82.08,63.08,86.64,0.8,72.2,False
Chennai,Chennai,2018-04-27,82.0,45.1,88.56,68.06,93.48,0.86,77.9,False
Chennai,Chennai,2018-04-28,54.0,29.7,58.32,44.82,61.56,0.57,51.3,False
Chennai,Chennai,2018-04-29,55.0,30.25,59.4,45.65,62.7,0.58,52.25,False
Chennai,Chennai,2018-04-30,73.0,40.15,78.84,60.59,83.22,0.77,69.35,False
Chennai,Chennai,2018-05-01,153.0,84.15,165.24,126.99,174.42,1.61,145.35,False
Chennai,Chennai,2018-05-02,75.0,41.25,81.0,62.25,85.5,0.79,71.25,False
Chennai,Chennai,2018-05-03,88.0,48.4,95.04,73.04,100.32,0.92,83.6,False
Chennai,Chennai,2018-05-04,82.0,45.1,88.56,68.06,93.48,0.86,77.9,False
Chennai,Chennai,2018-05-05,110.0,60.5,118.8,91.3,125.4,1.16,104.5,False
Chennai,Chennai,2018-05-06,90.0,49.5,97.2,74.7,102.6,0.95,85.5,False
Chennai,Chennai,2018-05-07,96.0,52.8,103.68,79.68,109.44,1.01,91.2,False
Chennai,Chennai,2018-05-08,108.0,59.4,116.64,89.64,123.12,1.13,102.6,False
Chennai,Chennai,2018-05-09,112.0,61.6,120.96,92.96,127.68,1.18,106.4,False
Chennai,Chennai,2018-05-10,55.0,30.25,59.4,45.65,62.7,0.58,52.25,False
Chennai,Chennai,2018-05-11,66.0,36.3,71.28,54.78,75.24,0.69,62.7,False
Chennai,Chennai,2018-05-12,61.0,33.55,65.88,50.63,69.54,0.64,57.95,False
Chennai,Chennai,2018-05-13,60.0,33.0,64.8,49.8,68.4,0.63,57.0,False
Chennai,Chennai,2018-05-14,60.0,33.0,64.8,49.8,68.4,0.63,57.0,False
Chennai,Chennai,2018-05-15,60.0,33.0,64.8,49.8,68.4,0.63,57.0,False
Chennai,Chennai,2018-05-16,67.0,36.85,72.36,55.61,76.38,0.7,63.65,False
Chennai,Chennai,2018-05-17,61.0,33.55,65.88,50.63,69.54,0.64,57.95,False
Chennai,Chennai,2018-05-18,70.0,38.5,75.6,58.1,79.8,0.74,66.5,False
Chennai,Chennai,2018-05-19,78.0,42.9,84.24,64.74,88.92,0.82,74.1,False
Chennai,Chennai,2018-05-20,67.0,36.85,72.36,55.61,76.38,0.7,63.65,False
Chennai,Chennai,2018-05-21,66.0,36.3,71.28,54.78,75.24,0.69,62.7,False
Chennai,Chennai,2018-05-22,99.0,54.45,106.92,82.17,112.86,1.04,94.05,False
Chennai,Chennai,2018-05-23,88.0,48.4,95.04,73.04,100.32,0.92,83.6,False
Chennai,Chennai,2018-05-24,63.0,34.65,68.04,52.29,71.82,0.66,59.85,False
Chennai,Chennai,2018-05-25,61.0,33.55,65.88,50.63,69.54,0.64,57.95,False
Chennai,Chennai,2018-05-26,68.0,37.4,73.44,56.44,77.52,0.71,64.6,False
Chennai,Chennai,2018-05-27,84.0,46.2,90.72,69.72,95.76,0.88,79.8,False
Chennai,Chennai,2018-05-28,84.0,46.2,90.72,69.72,95.76,0.88,79.8,False
Chennai,Chennai,2018-05-29,92.0,50.6,99.36,76.36,104.88,0.97,87.4,False
Chennai,Chennai,2018-05-30,74.0,40.7,79.92,61.42,84.36,0.78,70.3,False
Chennai,Chennai,2018-05-31,96.0,52.8,103.68,79.68,109.44,1.01,91.2,False
Chennai,Chennai,2018-06-01,157.0,86.35,169.56,130.31,178.98,1.65,149.15,False
Chennai,Chennai,2018-06-02,80.0,44.0,86.4,66.4,91.2,0.84,76.0,False
Chennai,Chennai,2018-06-03,73.0,40.15,78.84,60.59,83.22,0.77,69.35,False
Chennai,Chennai,2018-06-04,104.0,57.2,112.32,86.32,118.56,1.09,98.8,False
Chennai,Chennai,2018-06-05,68.0,37.4,73.44,56.44,77.52,0.71,64.6,False
Chennai,Chennai,2018-06-06,72.0,39.6,77.76,59.76,82.08,0.76,68.4,False
Chennai,Chennai,2018-06-07,148.0,81.4,159.84,122.84,168.72,1.55,140.6,False
Chennai,Chennai,2018-06-08,110.0,60.5,118.8,91.3,125.4,1.16,104.5,False
Chennai,Chennai,2018-06-09,107.0,58.85,115.56,88.81,121.98,1.12,101.65,False
Chennai,Chennai,2018-06-10,48.0,26.4,51.84,39.84,54.72,0.5,45.6,False
Chennai,Chennai,2018-06-11,64.0,35.2,69.12,53.12,72.96,0.67,60.8,False
Chennai,Chennai,2018-06-12,68.0,37.4,73.44,56.44,77.52,0.71,64.6,False
Chennai,Chennai,2018-06-13,81.0,44.55,87.48,67.23,92.34,0.85,76.95,False
Chennai,Chennai,2018-06-14,90.0,49.5,97.2,74.7,102.6,0.95,85.5,False
Chennai,Chennai,2018-06-15,97.0,53.35,104.76,80.51,110.58,1.02,92.15,False
Chennai,Chennai,2018-06-16,116.0,63.8,125.28,96.28,132.24,1.22,110.2,False
Chennai,Chennai,2018-06-17,89.0,48.95,96.12,73.87,101.46,0.93,84.55,False
Chennai,Chennai,2018-06-18,102.0,56.1,110.16,84.66,116.28,1.07,96.9,False
Chennai,Chennai,2018-06-19,94.0,51.7,101.52,78.02,107.16,0.99,89.3,False
Chennai,Chennai,2018-06-20,104.0,57.2,112.32,86.32,118.56,1.09,98.8,False
Chennai,Chennai,2018-06-21,116.0,63.8,125.28,96.28,132.24,1.22,110.2,False
Chennai,Chennai,2018-06-22,114.0,62.7,123.12,94.62,129.96,1.2,108.3,False
Chennai,Chennai,2018-06-23,104.0,57.2,112.32,86.32,118.56,1.09,98.8,False
Chennai,Chennai,2018-06-24,108.0,59.4,116.64,89.64,123.12,1.13,102.6,False
Chennai,Chennai,2018-06-25,112.0,61.6,120.96,92.96,127.68,1.18,106.4,False
Chennai,Chennai,2018-06-26,130.0,71.5,140.4,107.9,148.2,1.37,123.5,False
Chennai,Chennai,2018-06-27,112.0,61.6,120.96,92.96,127.68,1.18,106.4,False
Chennai,Chennai,2018-06-28,122.0,67.1,131.76,101.26,139.08,1.28,115.9,False
Chennai,Chennai,2018-06-29,102.0,56.1,110.16,84.66,116.28,1.07,96.9,False
Chennai,Chennai,2018-06-30,148.0,81.4,159.84,122.84,168.72,1.55,140.6,False
Chennai,Chennai,2018-07-01,123.0,67.65,132.84,102.09,140.22,1.29,116.85,False
Chennai,Chennai,2018-07-02,68.0,37.4,73.44,56.44,77.52,0.71,64.6,False
Chennai,Chennai,2018-07-03,117.0,64.35,126.36,97.11,133.38,1.23,111.15,False
Chennai,Chennai,2018-07-04,82.0,45.1,88.56,68.06,93.48,0.86,77.9,False
Chennai,Chennai,2018-07-05,86.0,47.3,92.88,71.38,98.04,0.9,81.7,False
Chennai,Chennai,2018-07-06,57.0,31.35,61.56,47.31,64.98,0.6,54.15,False
Chennai,Chennai,2018-07-07,130.0,71.5,140.4,107.9,148.2,1.37,123.5,False
Chennai,Chennai,2018-07-08,98.0,53.9,105.84,81.34,111.72,1.03,93.1,False
Chennai,Chennai,2018-07-09,102.0,56.1,110.16,84.66,116.28,1.07,96.9,False
Chennai,Chennai,2018-07-10,49.0,26.95,52.92,40.67,55.86,0.51,46.55,False
Chennai,Chennai,2018-07-11,121.0,66.55,130.68,100.43,137.94,1.27,114.95,False
Chennai,Chennai,2018-07-12,142.0,78.1,153.36,117.86,161.88,1.49,134.9,False
Chennai,Chennai,2018-07-13,98.0,53.9,105.84,81.34,111.72,1.03,93.1,False
Chennai,Chennai,2018-07-14,62.0,34.1,66.96,51.46,70.68,0.65,58.9,False
Chennai,Chennai,2018-07-15,118.0,64.9,127.44,97.94,134.52,1.24,112.1,False
Chennai,Chennai,2018-07-16,84.0,46.2,90.72,69.72,95.76,0.88,79.8,False
Chennai,Chennai,2018-07-17,72.0,39.6,77.76,59.76,82.08,0.76,68.4,False
Chennai,Chennai,2018-07-18,62.0,34.1,66.96,51.46,70.68,0.65,58.9,False
Chennai,Chennai,2018-07-19,92.0,50.6,99.36,76.36,104.88,0.97,87.4,False
Chennai,Chennai,2018-07-20,70.0,38.5,75.6,58.1,79.8,0.74,66.5,False
Chennai,Chennai,2018-07-21,76.0,41.8,82.08,63.08,86.64,0.8,72.2,False
Chennai,Chennai,2018-07-22,92.0,50.6,99.36,76.36,104.88,0.97,87.4,False
Chennai,Chennai,2018-07-23,112.0,61.6,120.96,92.96,127.68,1.18,106.4,False
Chennai,Chennai,2018-07-24,99.0,54.45,106.92,82.17,112.86,1.04,94.05,False
Chennai,Chennai,2018-07-25,62.0,34.1,66.96,51.46,70.68,0.65,58.9,False
Chennai,Chennai,2018-07-26,66.0,36.3,71.28,54.78,75.24,0.69,62.7,False
Chennai,Chennai,2018-07-27,58.0,31.9,62.64,48.14,66.12,0.61,55.1,False
Chennai,Chennai,2018-07-28,102.0,56.1,110.16,84.66,116.28,1.07,96.9,False
Chennai,Chennai,2018-07-29,108.0,59.4,116.64,89.64,123.12,1.13,102.6,False
Chennai,Chennai,2018-07-30,76.0,41.8,82.08,63.08,86.64,0.8,72.2,False
Chennai,Chennai,2018-07-31,104.0,57.2,112.32,86.32,118.56,1.09,98.8,False
Chennai,Chennai,2018-08-01,128.0,70.4,138.24,106.24,145.92,1.34,121.6,False
Chennai,Chennai,2018-08-02,68.0,37.4,73.44,56.44,77.52,0.71,64.6,False
Chennai,Chennai,2018-08-03,170.0,93.5,183.6,141.1,193.8,1.79,161.5,False
Chennai,Chennai,2018-08-04,58.0,31.9,62.64,48.14,66.12,0.61,55.1,False
Chennai,Chennai,2018-08-05,68.0,37.4,73.44,56.44,77.52,0.71,64.6,False
Chennai,Chennai,2018-08-06,74.0,40.7,79.92,61.42,84.36,0.78,70.3,False
Chennai,Chennai,2018-08-07,81.0,44.55,87.48,67.23,92.34,0.85,76.95,False
Chennai,Chennai,2018-08-08,59.0,32.45,63.72,48.97,67.26,0.62,56.05,False
Chennai,Chennai,2018-08-09,102.0,56.1,110.16,84.66,116.28,1.07,96.9,False
Chennai,Chennai,2018-08-10,64.0,35.2,69.12,53.12,72.96,0.67,60.8,False
Chennai,Chennai,2018-08-11,105.0,57.75,113.4,87.15,119.7,1.1,99.75,False
Chennai,Chennai,2018-08-12,238.0,130.9,257.04,197.54,271.32,2.5,226.1,True
Chennai,Chennai,2018-08-13,54.0,29.7,58.32,44.82,61.56,0.57,51.3,False
Chennai,Chennai,2018-08-14,77.0,42.35,83.16,63.91,87.78,0.81,73.15,False
Chennai,Chennai,2018-08-15,58.0,31.9,62.64,48.14,66.12,0.61,55.1,False
Chennai,Chennai,2018-08-16,42.0,23.1,45.36,34.86,47.88,0.44,39.9,False
Chennai,Chennai,2018-08-17,63.0,34.65,68.04,52.29,71.82,0.66,59.85,False
Chennai,Chennai,2018-08-18,181.0,99.55,195.48,150.23,206.34,1.9,171.95,False
Chennai,Chennai,2018-08-19,92.0,50.6,99.36,76.36,104.88,0.97,87.4,False
Chennai,Chennai,2018-08-20,118.0,64.9,127.44,97.94,134.52,1.24,112.1,False
Chennai,Chennai,2018-08-21,237.0,130.35,255.96,196.71,270.18,2.49,225.15,True
Chennai,Chennai,2018-08-22,132.0,72.6,142.56,109.56,150.48,1.39,125.4,False
Chennai,Chennai,2018-08-23,69.0,37.95,74.52,57.27,78.66,0.72,65.55,False
Chennai,Chennai,2018-08-24,66.0,36.3,71.28,54.78,75.24,0.69,62.7,False
Chennai,Chennai,2018-08-25,106.0,58.3,114.48,87.98,120.84,1.11,100.7,False
Chennai,Chennai,2018-08-26,76.0,41.8,82.08,63.08,86.64,0.8,72.2,False
Chennai,Chennai,2018-08-27,56.0,30.8,60.48,46.48,63.84,0.59,53.2,False
Chennai,Chennai,2018-08-28,51.0,28.05,55.08,42.33,58.14,0.54,48.45,False
Chennai,Chennai,2018-08-29,59.0,32.45,63.72,48.97,67.26,0.62,56.05,False
Chennai,Chennai,2018-08-30,73.0,40.15,78.84,60.59,83.22,0.77,69.35,False
Chennai,Chennai,2018-08-31,69.0,37.95,74.52,57.27,78.66,0.72,65.55,False
Chennai,Chennai,2018-09-01,107.0,58.85,115.56,88.81,121.98,1.12,101.65,False
Chennai,Chennai,2018-09-02,103.0,56.65,111.24,85.49,117.42,1.08,97.85,False
Chennai,Chennai,2018-09-03,110.0,60.5,118.8,91.3,125.4,1.16,104.5,False
Chennai,Chennai,2018-09-04,73.0,40.15,78.84,60.59,83.22,0.77,69.35,False
Chennai,Chennai,2018-09-05,63.0,34.65,68.04,52.29,71.82,0.66,59.85,False
Chennai,Chennai,2018-09-06,70.0,38.5,75.6,58.1,79.8,0.74,66.5,False
Chennai,Chennai,2018-09-07,127.0,69.85,137.16,105.41,144.78,1.33,120.65,False
Chennai,Chennai,2018-09-08,46.0,25.3,49.68,38.18,52.44,0.48,43.7,False
Chennai,Chennai,2018-09-09,81.0,44.55,87.48,67.23,92.34,0.85,76.95,False
Chennai,Chennai,2018-09-10,98.0,53.9,105.84,81.34,111.72,1.03,93.1,False
Chennai,Chennai,2018-09-11,146.0,80.3,157.68,121.18,166.44,1.53,138.7,False
Chennai,Chennai,2018-09-12,222.0,122.1,239.76,184.26,253.08,2.33,210.9,True
Chennai,Chennai,2018-09-15,166.0,91.3,179.28,137.78,189.24,1.74,157.7,False
Chennai,Chennai,2018-09-16,80.0,44.0,86.4,66.4,91.2,0.84,76.0,False
Chennai,Chennai,2018-09-17,48.0,26.4,51.84,39.84,54.72,0.5,45.6,False
Chennai,Chennai,2018-09-18,94.0,51.7,101.52,78.02,107.16,0.99,89.3,False
Chennai,Chennai,2018-09-19,49.0,26.95,52.92,40.67,55.86,0.51,46.55,False
Chennai,Chennai,2018-09-20,88.0,48.4,95.04,73.04,100.32,0.92,83.6,False
Chennai,Chennai,2018-09-21,100.0,55.0,108.0,83.0,114.0,1.05,95.0,False
Chennai,Chennai,2018-09-22,99.0,54.45,106.92,82.17,112.86,1.04,94.05,False
Chennai,Chennai,2018-09-23,74.0,40.7,79.92,61.42,84.36,0.78,70.3,False
Chennai,Chennai,2018-09-24,58.0,31.9,62.64,48.14,66.12,0.61,55.1,False
Chennai,Chennai,2018-09-25,58.0,31.9,62.64,48.14,66.12,0.61,55.1,False
Chennai,Chennai,2018-09-26,60.0,33.0,64.8,49.8,68.4,0.63,57.0,False
Chennai,Chennai,2018-09-27,67.0,36.85,72.36,55.61,76.38,0.7,63.65,False
Chennai,Chennai,2018-09-28,46.0,25.3,49.68,38.18,52.44,0.48,43.7,False
Chennai,Chennai,2018-09-29,44.0,24.2,47.52,36.52,50.16,0.46,41.8,False
Chennai,Chennai,2018-09-30,81.0,44.55,87.48,67.23,92.34,0.85,76.95,False
Chennai,Chennai,2018-10-01,108.0,59.4,116.64,89.64,123.12,1.13,102.6,False
Chennai,Chennai,2018-10-02,80.0,44.0,86.4,66.4,91.2,0.84,76.0,False
Chennai,Chennai,2018-10-03,141.0,77.55,152.28,117.03,160.74,1.48,133.95,False
Chennai,Chennai,2018-10-04,53.0,29.15,57.24,43.99,60.42,0.56,50.35,False
Chennai,Chennai,2018-10-05,56.0,30.8,60.48,46.48,63.84,0.59,53.2,False
Chennai,Chennai,2018-10-06,64.0,35.2,69.12,53.12,72.96,0.67,60.8,False
Chennai,Chennai,2018-10-07,109.0,59.95,117.72,90.47,124.26,1.14,103.55,False
Chennai,Chennai,2018-10-08,71.0,39.05,76.68,58.93,80.94,0.75,67.45,False
Chennai,Chennai,2018-10-09,73.0,40.15,78.84,60.59,83.22,0.77,69.35,False
Chennai,Chennai,2018-10-10,138.0,75.9,149.04,114.54,157.32,1.45,131.1,False
Chennai,Chennai,2018-10-11,134.0,73.7,144.72,111.22,152.76,1.41,127.3,False
Chennai,Chennai,2018-10-12,221.0,121.55,238.68,183.43,251.94,2.32,209.95,True
Chennai,Chennai,2018-10-13,72.0,39.6,77.76,59.76,82.08,0.76,68.4,False
Chennai,Chennai,2018-10-14,60.0,33.0,64.8,49.8,68.4,0.63,57.0,False
Chennai,Chennai,2018-10-15,65.0,35.75,70.2,53.95,74.1,0.68,61.75,False
Chennai,Chennai,2018-10-16,70.0,38.5,75.6,58.1,79.8,0.74,66.5,False
Chennai,Chennai,2018-10-17,60.0,33.0,64.8,49.8,68.4,0.63,57.0,False
Chennai,Chennai,2018-10-18,50.0,27.5,54.0,41.5,57.0,0.53,47.5,False
Chennai,Chennai,2018-10-19,148.0,81.4,159.84,122.84,168.72,1.55,140.6,False
Chennai,Chennai,2018-10-20,122.0,67.1,131.76,101.26,139.08,1.28,115.9,False
Chennai,Chennai,2018-10-21,132.0,72.6,142.56,109.56,150.48,1.39,125.4,False
Chennai,Chennai,2018-10-22,125.0,68.75,135.0,103.75,142.5,1.31,118.75,False
Chennai,Chennai,2018-10-23,146.0,80.3,157.68,121.18,166.44,1.53,138.7,False
Chennai,Chennai,2018-10-24,169.0,92.95,182.52,140.27,192.66,1.77,160.55,False
Chennai,Chennai,2018-10-25,140.0,77.0,151.2,116.2,159.6,1.47,133.0,False
